ticker,year,mda_len,notes_len,esg_len,mda_path,notes_path,esg_path,status,pdf_url
CTG,2021,135488,260095,8333,data/text/extracted_text/CTG_2021_MDA.txt,data/text/extracted_text/CTG_2021_NOTES.txt,data/text/extracted_text/CTG_2021_ESG.txt,cached,
DGC,2021,0,0,0,data/text/extracted_text/DGC_2021_MDA.txt,data/text/extracted_text/DGC_2021_NOTES.txt,data/text/extracted_text/DGC_2021_ESG.txt,extracted,local_cache
DPM,2021,0,0,0,data/text/extracted_text/DPM_2021_MDA.txt,data/text/extracted_text/DPM_2021_NOTES.txt,data/text/extracted_text/DPM_2021_ESG.txt,extracted,local_cache
DXG,2021,102166,130486,13855,data/text/extracted_text/DXG_2021_MDA.txt,data/text/extracted_text/DXG_2021_NOTES.txt,data/text/extracted_text/DXG_2021_ESG.txt,cached,
FPT,2021,175071,129330,63659,data/text/extracted_text/FPT_2021_MDA.txt,data/text/extracted_text/FPT_2021_NOTES.txt,data/text/extracted_text/FPT_2021_ESG.txt,cached,
FRT,2021,57235,80597,2852,data/text/extracted_text/FRT_2021_MDA.txt,data/text/extracted_text/FRT_2021_NOTES.txt,data/text/extracted_text/FRT_2021_ESG.txt,cached,
GMD,2021,118343,0,27742,data/text/extracted_text/GMD_2021_MDA.txt,data/text/extracted_text/GMD_2021_NOTES.txt,data/text/extracted_text/GMD_2021_ESG.txt,cached,
HAG,2021,0,0,0,data/text/extracted_text/HAG_2021_MDA.txt,data/text/extracted_text/HAG_2021_NOTES.txt,data/text/extracted_text/HAG_2021_ESG.txt,extracted,local_cache
HAH,2021,21795,0,0,data/text/extracted_text/HAH_2021_MDA.txt,data/text/extracted_text/HAH_2021_NOTES.txt,data/text/extracted_text/HAH_2021_ESG.txt,cached,
HDB,2021,0,0,0,data/text/extracted_text/HDB_2021_MDA.txt,data/text/extracted_text/HDB_2021_NOTES.txt,data/text/extracted_text/HDB_2021_ESG.txt,extracted,local_cache
HPG,2021,70366,131250,0,data/text/extracted_text/HPG_2021_MDA.txt,data/text/extracted_text/HPG_2021_NOTES.txt,data/text/extracted_text/HPG_2021_ESG.txt,cached,
HSG,2021,178152,219852,21474,data/text/extracted_text/HSG_2021_MDA.txt,data/text/extracted_text/HSG_2021_NOTES.txt,data/text/extracted_text/HSG_2021_ESG.txt,cached,
ITA,2021,0,0,0,data/text/extracted_text/ITA_2021_MDA.txt,data/text/extracted_text/ITA_2021_NOTES.txt,data/text/extracted_text/ITA_2021_ESG.txt,extracted,local_cache
KBC,2021,55731,19830,0,data/text/extracted_text/KBC_2021_MDA.txt,data/text/extracted_text/KBC_2021_NOTES.txt,data/text/extracted_text/KBC_2021_ESG.txt,cached,
KDH,2021,71920,197789,14447,data/text/extracted_text/KDH_2021_MDA.txt,data/text/extracted_text/KDH_2021_NOTES.txt,data/text/extracted_text/KDH_2021_ESG.txt,cached,
LPB,2021,73938,183485,0,data/text/extracted_text/LPB_2021_MDA.txt,data/text/extracted_text/LPB_2021_NOTES.txt,data/text/extracted_text/LPB_2021_ESG.txt,cached,
MBB,2021,63195,146540,25013,data/text/extracted_text/MBB_2021_MDA.txt,data/text/extracted_text/MBB_2021_NOTES.txt,data/text/extracted_text/MBB_2021_ESG.txt,cached,
